workload,config,seed,dci_raw,dci_white
tpch,volume_only,6,1.6121758387480858,1.0090860031732216
tpch,volume_only,7,1.0127570291603236,1.0010103850088086
tpch,volume_only,8,1.4732974532000926,1.0034318294364126
tpch,volume_only,9,1.289649287695839,1.0101494332505068
tpch,volume_only,10,1.7909116792728876,1.0093176568737392
tpch,volume_only,11,1.282905426251686,1.006603294111366
tpch,volume_only,12,1.630548474972451,1.0093213725941939
tpch,volume_only,13,1.6456013315569644,1.0093173523941692
tpch,volume_only,14,1.6346620332332709,1.0079095947092545
tpch,volume_only,15,1.3744850312345303,1.0060441704961651
tpch,volume_only,16,1.6473399439118328,1.0090918772914552
tpch,volume_only,17,1.2791229051150088,1.0090803765508578
tpch,volume_only,18,1.5741430890334027,1.0085581979251474
tpch,volume_only,19,1.6663401862419636,1.0101557750839165
tpch,volume_only,20,1.2779109427424298,1.0101469347431773
tpch,volume_only,21,1.5568125728400992,1.0068642020869023
tpch,volume_only,22,1.5300801385705878,1.008561222834709
tpch,volume_only,23,1.014215388658822,1.0010719884845698
tpch,volume_only,24,1.292711587154624,1.0078954716489619
tpch,volume_only,25,1.6458410268046595,1.0093205046070668
tpch,volume_only,26,1.53857310951855,1.0051413349702492
tpch,volume_only,27,1.6375934887536796,1.0093174357598722
tpch,volume_only,28,1.280308232226689,1.0066432155708531
tpch,volume_only,29,1.626370256023618,1.0066169629203106
tpch,volume_only,30,1.6186865953553966,1.0060931419791024
tpch,volume_only,31,1.6471350967653957,1.0093138006257012
tpch,volume_only,32,1.545387787877665,1.006863793305891
tpch,volume_only,33,1.0000000000000002,1.0
tpch,volume_only,34,1.0137667907272,1.0010700664866858
tpch,volume_only,35,1.3848213192696643,1.0085559816055458
tpch,volume_only,36,1.0133043201087903,1.0010143932182949
tpch,volume_only,37,1.0130870573209028,1.001009088700227
tpch,volume_only,38,1.0134872784293762,1.0010714763673088
tpch,volume_only,39,1.299577931684834,1.0090836062771702
tpch,volume_only,40,1.2966538568873678,1.0101483478577116
tpch,volume_only,41,1.5676907153104722,1.0102268685657063
tpch,volume_only,42,1.6546442762403057,1.006876653530539
tpch,volume_only,43,1.0275158624118066,1.0101418238443278
tpch,volume_only,44,1.3062160752460643,1.0101497464984723
tpch,volume_only,45,1.2311027849498066,1.0093070335829806
tpch,volume_only,46,1.5496684505520604,1.0068665950034585
tpch,volume_only,47,1.0126278055311069,1.0010068100415654
tpch,volume_only,48,1.3748558875378833,1.008555999168188
tpch,volume_only,49,1.7930605197402127,1.0093461592022641
tpch,mixed,0,2.1602859297489463,1.3427167058589224
tpch,mixed,1,1.7443765031619547,1.5318934473132086
tpch,mixed,2,1.8655229946605623,1.4902989867980512
tpch,mixed,3,1.8514986702912692,1.107830848889951
tpch,mixed,4,1.8615420405704286,1.3047520953308425
tpch,mixed,5,1.6916372605046666,1.6312874370635375
tpch,mixed,6,1.5820418742855258,1.7152721161397708
tpch,mixed,7,1.9849271330856724,1.32652198133989
tpch,mixed,8,2.2134846904069736,1.8361649780967557
tpch,mixed,9,2.091459588805144,1.2136862887561486
tpch,mixed,10,1.8932285139671277,1.5231364579690423
tpch,mixed,11,2.1913753387342116,1.320447292167869
tpch,mixed,12,2.3707982511797447,1.2231122332765074
tpch,mixed,13,2.0701160695489755,1.511685408263959
tpch,mixed,14,2.501438420568714,1.613244150383372
tpch,mixed,15,1.8081190152266768,1.276413390854937
tpch,mixed,16,2.313374575708166,1.4968402955118845
tpch,mixed,17,2.1967901437678483,1.1553170404325366
tpch,mixed,18,1.653920805203829,1.3739218588552704
tpch,mixed,19,1.8406178794411543,1.402333228504478
tpch,mixed,20,2.1735112617382777,1.5965982046247094
tpch,mixed,21,1.7538081048282184,1.8082933427454964
tpch,mixed,22,1.7307598564275524,1.5011585199015285
tpch,mixed,23,1.8841104263999207,1.5940036856921138
tpch,mixed,24,1.6648396644053025,1.9819680285518009
tpch,mixed,25,1.6325375897297232,1.7506628667192228
tpch,mixed,26,1.7021018881466115,1.8387317060094486
tpch,mixed,27,2.3547633217825017,1.23289420555079
tpch,mixed,28,1.9153109564870159,1.1186528239360105
tpch,mixed,29,2.0900661063746915,1.2544934442800257
tpch,mixed,30,2.202014571310501,1.3468687035522044
tpch,mixed,31,2.2118832088539793,1.1843116195460155
tpch,mixed,32,1.976965818778254,1.4781753407630578
tpch,mixed,33,1.93608914802321,1.572901659339199
tpch,mixed,34,1.685210570535996,1.6268203635099654
tpch,mixed,35,2.26284271163915,1.2688545092474486
tpch,mixed,36,1.8178856136659447,1.2665810095503363
tpch,mixed,37,1.9062747607990391,1.3821927755768426
tpch,mixed,38,1.8880410373516354,1.1360691511086751
tpch,mixed,39,2.1502363459314076,1.2822656099287382
tpch,mixed,40,1.805485476253793,1.5846859446912795
tpch,mixed,41,2.3300692240136716,1.0408049668966204
tpch,mixed,42,1.7960235110235803,1.3720675931472788
tpch,mixed,43,2.242605593988689,1.3438972462011232
tpch,mixed,44,2.1762279656933523,1.1883449604965592
tpch,mixed,45,1.6141195856677182,1.9066861242762487
tpch,mixed,46,1.6503647016934757,1.6614829333402585
tpch,mixed,47,1.6985366745702777,1.884857289637251
tpch,mixed,48,1.9131859678213416,1.9361226929988455
tpch,mixed,49,2.3624930764173935,1.1930177816258947
job,template_only,0,1.2181896334554496,1.000828124763497
job,template_only,1,1.049054765791201,1.4553875277789472
job,template_only,2,1.1329877753852602,1.0001150210789487
job,template_only,3,1.071173887392066,1.0047040264940568
job,template_only,4,1.0513588929601696,1.004829779981234
job,template_only,5,1.0885886963941,1.0015485164254077
job,template_only,6,1.0302314480847456,1.0108721030658878
job,template_only,7,1.131943052955963,1.0184193784537008
job,template_only,8,1.0880527211834257,1.0004030540303557
job,template_only,9,1.0238863345066074,1.0004391018438892
job,template_only,10,1.1054556422065815,1.0008146149390624
job,template_only,11,1.1953408911565355,1.0005388681920009
job,template_only,12,1.1253316371854474,1.0061906536214833
job,template_only,13,1.2135345638619062,1.0019616737054449
job,template_only,14,1.0574975082880822,1.0011795948255549
job,template_only,15,1.073353025012827,1.0001193410113793
job,template_only,16,1.111312744132172,1.0058166415275096
job,template_only,17,1.1221512054446627,1.0012985244101076
job,template_only,18,1.0245202466748686,1.023971900133087
job,template_only,19,1.0796024238932465,1.08037071482371
job,template_only,20,1.0333596515057955,1.0165779059129696
job,template_only,21,1.0555702982375175,1.000938753821273
job,template_only,22,1.1010022007087594,1.0159275023275436
job,template_only,23,1.0165325361856723,1.0008675086604741
job,template_only,24,1.066419894576328,1.0060949214483328
job,template_only,25,1.031832701818432,1.00153367517983
job,template_only,26,1.087358409928957,1.0067537812775478
job,template_only,27,1.0692362481420883,1.010812289835661
job,template_only,28,1.083821411099655,1.0713160082748694
job,template_only,29,1.355724898177829,1.028636147164884
job,template_only,30,1.0162828108742552,1.003507672187267
job,template_only,31,1.031713632370424,1.0001902604292126
job,template_only,32,1.0602103572778492,1.0003665713267453
job,template_only,33,1.2217829775457125,1.0069185933590905
job,template_only,34,1.1696793993839851,1.0021934409367905
job,template_only,35,1.0288221546349368,1.0097945562549229
job,template_only,36,1.12723562625775,1.0054684731420447
job,template_only,37,1.2148383191473757,1.0015898881135905
job,template_only,38,1.4145668664384599,1.0171057560130425
job,template_only,39,1.0858670801181936,1.0566255029367957
job,template_only,40,1.0486238674541641,1.0020112779558694
job,template_only,41,1.1054017944288184,1.0002971120733377
job,template_only,42,1.0821643593273358,1.006941196946369
job,template_only,43,1.0901301790793974,1.124912301375241
job,template_only,44,1.161832220203112,1.015997225702398
job,template_only,45,1.1285068124407531,1.016371829335197
job,template_only,46,1.1544750706193045,1.0000934455179233
job,template_only,47,1.084503072425691,1.0171786735594817
job,template_only,48,1.1434315858259205,1.0544417277715576
job,template_only,49,1.0828452923529193,1.0022895890206696
job,volume_only,0,1.1172509800059394,1.0102569481873391
job,volume_only,1,1.07676544144291,1.0051451490169694
job,volume_only,2,1.050828576334631,1.0102366800429827
job,volume_only,3,1.2704454948537762,1.0079064599898158
job,volume_only,4,1.0680967790481435,1.0010165800362332
job,volume_only,5,1.0700275175808749,1.0018054265300225
job,volume_only,6,1.6545699071919262,1.0010712020022696
job,volume_only,7,1.2486742125912982,1.0085588142899944
job,volume_only,8,1.3552951536180209,1.0093263558740935
job,volume_only,9,1.2796970957707714,1.0010814004456579
job,volume_only,10,1.0862420320461201,1.0065991409580581
job,volume_only,11,1.1008994269331247,1.0093097953381764
job,volume_only,12,1.0944177768902188,1.0085541300999963
job,volume_only,13,1.1732348627895897,1.006020139894915
job,volume_only,14,1.1571124158720898,1.006857122910395
job,volume_only,15,1.0708383003461297,1.0066037022949215
job,volume_only,16,1.0673490844891815,1.0085633856695873
job,volume_only,17,1.0957448623131707,1.0079070146395515
job,volume_only,18,1.1038229141891192,1.010153052609251
job,volume_only,19,1.0608758966648224,1.0068535542182797
job,volume_only,20,1.1250339048486917,1.0093182050746294
job,volume_only,21,1.0965915579664625,1.0066111631269654
job,volume_only,22,1.2266833721770634,1.0060375945112334
job,volume_only,23,1.1343435680969949,1.0068649785017956
job,volume_only,24,1.1133915733718405,1.0065996673609843
job,volume_only,25,1.0930476081355802,1.0068625361445964
job,volume_only,26,1.075355669167146,1.0085606206557747
job,volume_only,27,1.2000466982805917,1.009319733072542
job,volume_only,28,1.0819958517044286,1.006586373830356
job,volume_only,29,1.0473299504698501,1.0085800818509216
job,volume_only,30,1.2937875289579528,1.0010233375005828
job,volume_only,31,1.0408842073184774,1.0069551086814426
job,volume_only,32,1.0301537051436591,1.0051190166962818
job,volume_only,33,1.1352978644838543,1.0051946400324083
job,volume_only,34,1.0255652160393565,1.0101435488226178
job,volume_only,35,1.1488622621623599,1.0078885495192442
job,volume_only,36,1.0897136572653492,1.008570085121778
job,volume_only,37,1.0566526720139762,1.005194101068261
job,volume_only,38,1.123247167230831,1.0010096934458252
job,volume_only,39,1.2046258387851188,1.009306812692194
job,volume_only,40,1.0569619602333498,1.006864130175669
job,volume_only,41,1.09420432070631,1.0068560574886312
job,volume_only,42,1.2346907657764306,1.0068577491128
job,volume_only,43,1.013806275173517,1.009297791273146
job,volume_only,44,1.0630058606457506,1.0078931824234534
job,volume_only,45,1.1292382060677442,1.0102713687387623
job,volume_only,46,1.0469584123126585,1.0000082646753519
job,volume_only,47,1.055689037593208,1.0101559380923155
job,volume_only,48,1.08704509581881,1.0078824145662677
job,volume_only,49,1.0755966881650967,1.0065846365574136
job,mixed,0,1.601055009935708,1.0276085090787705
job,mixed,1,1.9474276303714766,1.0241440862051692
job,mixed,2,1.4319694581825242,1.0042965687320522
job,mixed,3,1.9622972113375612,1.0126481274701737
job,mixed,4,2.093635660808663,1.0030429201210913
job,mixed,5,1.8891533957639948,1.0364258034432754
job,mixed,6,2.0276981148494935,1.0231552651439755
job,mixed,7,1.9094949637651273,1.030039042886752
job,mixed,8,1.9413060648845057,1.0045164776379993
job,mixed,9,2.1002824349769322,1.0077251473202788
job,mixed,10,1.8712666984770288,1.0551964982837996
job,mixed,11,1.5660165868495917,1.026409514839428
job,mixed,12,1.9884659231614172,1.0017812643746964
job,mixed,13,1.878764377587489,1.2775829663834772
job,mixed,14,2.0315422222968276,1.00321219198412
job,mixed,15,2.038967764698793,1.0491845601973686
job,mixed,16,1.5806261296358608,1.0081798352195042
job,mixed,17,1.8602328263039614,1.0215994342820733
job,mixed,18,2.0634452447455156,1.0670429749316563
job,mixed,19,1.8645005908901642,1.039863974082908
job,mixed,20,2.0279940947551256,1.0162065229840331
job,mixed,21,2.0458025095167227,1.1113847768774205
job,mixed,22,1.9718673510533187,1.0102631428130961
job,mixed,23,2.237413140211781,1.0274009863423206
job,mixed,24,2.0049746016280703,1.0106000637998636
job,mixed,25,1.9008571055467622,1.0076912934252114
job,mixed,26,1.5511354188274236,1.0102997036965136
job,mixed,27,1.9143401816687988,1.756434721380709
job,mixed,28,2.0160688013745744,1.002728759569237
job,mixed,29,1.8620509027619858,1.0443865925721143
job,mixed,30,2.0893936151954815,1.0263118847960424
job,mixed,31,1.9239273215996786,1.0110810349507056
job,mixed,32,1.95529951672218,1.0232363455745142
job,mixed,33,2.0320734861717065,1.0027885867556299
job,mixed,34,2.1251888886035717,1.2761535417337553
job,mixed,35,1.8322504046940367,1.1374606612525546
job,mixed,36,1.724243842598078,1.0035396002935832
job,mixed,37,2.1781415604505696,1.9504510695588868
job,mixed,38,2.225423959845171,1.012651496811936
job,mixed,39,2.021232705021023,1.248174106852964
job,mixed,40,1.824503305740351,1.0158511543832958
job,mixed,41,1.9820046274086347,1.506565272911194
job,mixed,42,1.8418672813022428,1.086241131694848
job,mixed,43,1.7797371623271685,1.0045822236529534
job,mixed,44,1.8138749730824428,1.0105942552210285
job,mixed,45,1.5887025420467982,1.0075050595166337
job,mixed,46,1.7613182781334094,1.0039121088700287
job,mixed,47,2.011300226588349,1.0115636854664922
job,mixed,48,2.044606601924047,1.0107997678473972
job,mixed,49,1.9968245587526865,1.0280832033468301
pgbench,template_only,0,1.0457384196934914,1.0457384196934914
pgbench,template_only,1,1.0000000000000002,1.0
pgbench,template_only,2,1.0171594447041343,1.0171594447041346
pgbench,template_only,3,1.0301192575100704,1.0301192575100704
pgbench,template_only,4,1.0407271043685649,1.0407271043685649
pgbench,template_only,5,1.017786246163513,1.017786246163513
pgbench,template_only,6,1.0332728237674083,1.033272823767408
pgbench,template_only,7,1.0000000000000004,1.0
pgbench,template_only,8,1.0608978033224252,1.0608978033224254
pgbench,template_only,9,1.0882796322650066,1.0882796322650066
pgbench,template_only,10,1.0350943603633862,1.0350943603633864
pgbench,template_only,11,1.0376419074878802,1.0376419074878804
pgbench,template_only,12,1.0000000000000004,1.0
pgbench,template_only,13,1.029922303035428,1.0299223030354283
pgbench,template_only,14,1.0641354088362713,1.0641354088362716
pgbench,template_only,15,1.0994675077492335,1.0994675077492335
pgbench,template_only,16,1.0315127744310135,1.0315127744310142
pgbench,template_only,17,1.074979753924957,1.0749797539249568
pgbench,template_only,18,1.027451819441652,1.027451819441652
pgbench,template_only,19,1.002717019961144,1.002717019961144
pgbench,template_only,20,1.027451819441652,1.027451819441652
pgbench,template_only,21,1.0,1.0
pgbench,template_only,22,1.037625469398218,1.0376254693982174
pgbench,template_only,23,1.020179718945914,1.020179718945914
pgbench,template_only,24,1.0306791646026805,1.030679164602681
pgbench,template_only,25,1.0000000000000004,1.0
pgbench,template_only,26,1.0171594447041343,1.0171594447041346
pgbench,template_only,27,1.0457384196934914,1.0457384196934914
pgbench,template_only,28,1.0000000000000002,1.0000000000000002
pgbench,template_only,29,1.0343858720524601,1.0343858720524608
pgbench,template_only,30,1.0171941054109366,1.0171941054109361
pgbench,template_only,31,1.0243841878927258,1.024384187892726
pgbench,template_only,32,1.0146244233747728,1.0146244233747732
pgbench,template_only,33,1.0174399712177677,1.017439971217768
pgbench,template_only,34,1.0563419764328035,1.056341976432803
pgbench,template_only,35,1.0185292748680388,1.0185292748680388
pgbench,template_only,36,1.1179700682684175,1.117970068268418
pgbench,template_only,37,1.0285795860827145,1.0285795860827147
pgbench,template_only,38,1.0285795860827145,1.0285795860827147
pgbench,template_only,39,1.0963507944718163,1.096350794471816
pgbench,template_only,40,1.0228900882213428,1.022890088221343
pgbench,template_only,41,1.002717019961144,1.002717019961144
pgbench,template_only,42,1.020446563567066,1.0204465635670663
pgbench,template_only,43,1.0451208260946774,1.0451208260946774
pgbench,template_only,44,1.020446563567066,1.0204465635670663
pgbench,template_only,45,1.0287352069344482,1.0287352069344484
pgbench,template_only,46,1.0000000000000004,1.0
pgbench,template_only,47,1.0509349123404188,1.050934912340419
pgbench,template_only,48,1.037625469398218,1.0376254693982174
pgbench,template_only,49,1.029922303035428,1.0299223030354283
pgbench,volume_only,0,1.0092955699187012,1.0092955699187012
pgbench,volume_only,1,1.0078778078152852,1.0078778078152857
pgbench,volume_only,2,1.0,1.0
pgbench,volume_only,3,1.009067408645132,1.009067408645132
pgbench,volume_only,4,1.0034225640651058,1.0034225640651055
pgbench,volume_only,5,1.0060076754377343,1.0060076754377345
pgbench,volume_only,6,1.0078778078152852,1.0078778078152857
pgbench,volume_only,7,1.0092955699187012,1.0092955699187012
pgbench,volume_only,8,1.0078778078152852,1.0078778078152857
pgbench,volume_only,9,1.0110736857175422,1.0110736857175426
pgbench,volume_only,10,1.0068449757000022,1.006844975700002
pgbench,volume_only,11,1.0078778078152852,1.0078778078152857
pgbench,volume_only,12,1.008546921509046,1.008546921509046
pgbench,volume_only,13,1.0078778078152852,1.0078778078152857
pgbench,volume_only,14,1.008546921509046,1.008546921509046
pgbench,volume_only,15,1.0078778078152852,1.0078778078152857
pgbench,volume_only,16,1.0101364097047298,1.0101364097047296
pgbench,volume_only,17,1.0101364097047296,1.0101364097047296
pgbench,volume_only,18,1.0101364097047296,1.0101364097047296
pgbench,volume_only,19,1.009067408645132,1.009067408645132
pgbench,volume_only,20,1.0092955699187012,1.0092955699187012
pgbench,volume_only,21,1.0068449757000022,1.0068449757000024
pgbench,volume_only,22,1.0092955699187012,1.0092955699187012
pgbench,volume_only,23,1.005116956387453,1.0051169563874525
pgbench,volume_only,24,1.0092955699187012,1.0092955699187012
pgbench,volume_only,25,1.0060076754377343,1.0060076754377345
pgbench,volume_only,26,1.0068449757000022,1.006844975700002
pgbench,volume_only,27,1.0010578755074544,1.0010578755074542
pgbench,volume_only,28,1.0010578755074544,1.0010578755074542
pgbench,volume_only,29,1.008546921509046,1.008546921509046
pgbench,volume_only,30,1.0123612990020727,1.012361299002073
pgbench,volume_only,31,1.0068449757000022,1.006844975700002
pgbench,volume_only,32,1.009067408645132,1.009067408645132
pgbench,volume_only,33,1.0065779841003972,1.0065779841003972
pgbench,volume_only,34,1.0102199564150176,1.010219956415018
pgbench,volume_only,35,1.0078778078152852,1.0078778078152857
pgbench,volume_only,36,1.0065779841003972,1.0065779841003972
pgbench,volume_only,37,1.0101364097047296,1.0101364097047296
pgbench,volume_only,38,1.0092955699187012,1.0092955699187012
pgbench,volume_only,39,1.0060076754377343,1.0060076754377345
pgbench,volume_only,40,1.0010578755074544,1.0010578755074542
pgbench,volume_only,41,1.0078778078152852,1.0078778078152857
pgbench,volume_only,42,1.0078778078152852,1.0078778078152857
pgbench,volume_only,43,1.0078778078152852,1.0078778078152857
pgbench,volume_only,44,1.0010578755074544,1.0010578755074542
pgbench,volume_only,45,1.0092955699187012,1.0092955699187012
pgbench,volume_only,46,1.008546921509046,1.008546921509046
pgbench,volume_only,47,1.0101364097047296,1.0101364097047296
pgbench,volume_only,48,1.0065779841003972,1.0065779841003972
pgbench,volume_only,49,1.0078778078152852,1.0078778078152857
pgbench,mixed,0,1.6627911308925427,1.6627911308925432
pgbench,mixed,1,1.9843409694051013,1.984340969405102
pgbench,mixed,2,1.9258701617145726,1.9258701617145733
pgbench,mixed,3,1.9212558655226142,1.9212558655226142
pgbench,mixed,4,1.9948166681778605,1.994816668177861
pgbench,mixed,5,1.9950670938381534,1.9950670938381534
pgbench,mixed,6,1.7233484323009696,1.7233484323009698
pgbench,mixed,7,1.5401317064202509,1.5401317064202504
pgbench,mixed,8,1.7305236619992188,1.7305236619992188
pgbench,mixed,9,1.9635793412215363,1.9635793412215359
pgbench,mixed,10,1.7267528011629667,1.7267528011629676
pgbench,mixed,11,1.5392839304036012,1.5392839304036017
pgbench,mixed,12,1.844770496538774,1.8447704965387748
pgbench,mixed,13,1.951990069830613,1.9519900698306127
pgbench,mixed,14,1.0,1.0
pgbench,mixed,15,1.6564437133794068,1.6564437133794072
pgbench,mixed,16,1.790493249734913,1.7904932497349126
pgbench,mixed,17,1.9323980708513486,1.9323980708513482
pgbench,mixed,18,2.0198253156301007,2.0198253156301016
pgbench,mixed,19,1.9344817892467618,1.9344817892467625
pgbench,mixed,20,1.9775376179248034,1.9775376179248025
pgbench,mixed,21,1.7459846808421087,1.7459846808421078
pgbench,mixed,22,1.7535170212025435,1.7535170212025435
pgbench,mixed,23,1.9948166681778605,1.994816668177861
pgbench,mixed,24,1.7305236619992188,1.7305236619992188
pgbench,mixed,25,1.5672035069999979,1.5672035069999988
pgbench,mixed,26,1.824109151348201,1.8241091513482006
pgbench,mixed,27,1.7305236619992188,1.7305236619992188
pgbench,mixed,28,1.973512228237782,1.9735122282377817
pgbench,mixed,29,1.0,1.0
pgbench,mixed,30,1.7355923811248823,1.735592381124883
pgbench,mixed,31,1.0092955699187012,1.0092955699187012
pgbench,mixed,32,1.990300027308018,1.990300027308018
pgbench,mixed,33,1.0035596986892943,1.0035596986892945
pgbench,mixed,34,1.896389023137015,1.896389023137014
pgbench,mixed,35,1.5538266526005522,1.5538266526005526
pgbench,mixed,36,1.7190952121587513,1.7190952121587506
pgbench,mixed,37,1.9999557638832928,1.9999557638832932
pgbench,mixed,38,1.8697928965975832,1.8697928965975843
pgbench,mixed,39,1.5329316671344315,1.5329316671344322
pgbench,mixed,40,1.8773718830733932,1.8773718830733936
pgbench,mixed,41,1.7231443708776457,1.7231443708776468
pgbench,mixed,42,1.8629686075972787,1.8629686075972798
pgbench,mixed,43,1.7986952156021232,1.7986952156021236
pgbench,mixed,44,1.9976108272223636,1.9976108272223638
pgbench,mixed,45,1.8727093875342145,1.8727093875342145
pgbench,mixed,46,1.8659655247338511,1.8659655247338514
pgbench,mixed,47,1.627983031071612,1.6279830310716117
pgbench,mixed,48,1.844770496538774,1.8447704965387748
pgbench,mixed,49,1.7388315757424544,1.7388315757424542
